lineup_size,lineup_player_ids,lineup_player_names,team_name,opp_lineup_size,opp_lineup_player_ids,opp_lineup_player_names,opp_team_name,games_used,stint_count,possessions,sec_played,min_played,min_played_str,sec_per_game,min_per_game,min_per_game_str,PTS,PTS_per_game,PTS_per100,PTS_per36,PTS_allowed,PTS_allowed_per_game,PTS_allowed_per100,PTS_allowed_per36,FGA,FGA_per_game,FGA_per100,FGA_per36,FGM,FGM_per_game,FGM_per100,FGM_per36,2PA,2PA_per_game,2PA_per100,2PA_per36,2PM,2PM_per_game,2PM_per100,2PM_per36,3PA,3PA_per_game,3PA_per100,3PA_per36,3PM,3PM_per_game,3PM_per100,3PM_per36,FTA,FTA_per_game,FTA_per100,FTA_per36,FTM,FTM_per_game,FTM_per100,FTM_per36,ORB,ORB_per_game,ORB_per100,ORB_per36,DRB,DRB_per_game,DRB_per100,DRB_per36,ORB_allowed,ORB_allowed_per_game,ORB_allowed_per100,ORB_allowed_per36,DRB_allowed,DRB_allowed_per_game,DRB_allowed_per100,DRB_allowed_per36,TOV,TOV_per_game,TOV_per100,TOV_per36,AST,AST_per_game,AST_per100,AST_per36,STL,STL_per_game,STL_per100,STL_per36,BLK,BLK_per_game,BLK_per100,BLK_per36,Fouls,Fouls_per_game,Fouls_per100,Fouls_per36,FT_allowed,FT_allowed_per_game,FT_allowed_per100,FT_allowed_per36,ORtg,DRtg,NetRtg,PACE,PM_total,PM_per_game,PM_per100,MIN_total,MIN_per_game,eFG,TS,FG2_pct,FG3_pct,FT_pct,TOV_pct,AST_ratio,ORB_pct,DRB_pct,TRB_pct,STL_pct,BLK_pct,Foul_per_poss,FT_allowed_rate_per100,FT_rate
2,40|113,謝亞軒/林任鴻,新北中信特攻,3,21|29|32,李愷諺/林書緯/奧帝,新北國王,1,21,24.0,342.22,5.7,05:42,342.22,5.7,05:42,18.0,18.0,75.0,113.61,6.0,6.0,25.0,37.87,8.0,8.0,33.33,50.49,5.0,5.0,20.83,31.56,6.0,6.0,25.0,37.87,3.0,3.0,12.5,18.94,2.0,2.0,8.33,12.62,2.0,2.0,8.33,12.62,10.0,10.0,41.67,63.12,8.0,8.0,33.33,50.49,2.0,2.0,8.33,12.62,2.0,2.0,8.33,12.62,1.0,1.0,4.17,6.31,3.0,3.0,12.5,18.94,1.0,1.0,4.17,6.31,5.0,5.0,20.83,31.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,16.67,25.25,2.0,2.0,8.33,12.62,75.0,25.0,50.0,100.99,12.0,12.0,50.0,5.7,5.7,0.75,0.73,0.5,1.0,0.8,0.07,1.0,0.4,0.67,0.5,0.0,0.0,0.17,8.33,1.25
3,21|29|32,李愷諺/林書緯/奧帝,新北國王,2,40|113,謝亞軒/林任鴻,新北中信特攻,1,21,24.0,342.22,5.7,05:42,342.22,5.7,05:42,6.0,6.0,25.0,37.87,18.0,18.0,75.0,113.61,6.0,6.0,25.0,37.87,3.0,3.0,12.5,18.94,3.0,3.0,12.5,18.94,3.0,3.0,12.5,18.94,3.0,3.0,12.5,18.94,0.0,0.0,0.0,0.0,2.0,2.0,8.33,12.62,0.0,0.0,0.0,0.0,1.0,1.0,4.17,6.31,3.0,3.0,12.5,18.94,2.0,2.0,8.33,12.62,2.0,2.0,8.33,12.62,4.0,4.0,16.67,25.25,3.0,3.0,12.5,18.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,8.33,12.62,10.0,10.0,41.67,63.12,25.0,75.0,-50.0,100.99,-12.0,-12.0,-50.0,5.7,5.7,0.5,0.44,1.0,0.0,0.0,0.37,1.0,0.33,0.6,0.5,0.0,0.0,0.08,41.67,0.33
2,40|113,謝亞軒/林任鴻,新北中信特攻,3,21|29|13029,李愷諺/林書緯/杰倫,新北國王,1,26,30.0,407.44,6.79,06:47,407.44,6.79,06:47,19.0,19.0,63.33,100.73,7.0,7.0,23.33,37.11,11.0,11.0,36.67,58.31,5.0,5.0,16.67,26.51,6.0,6.0,20.0,31.81,2.0,2.0,6.67,10.6,5.0,5.0,16.67,26.51,3.0,3.0,10.0,15.9,10.0,10.0,33.33,53.01,8.0,8.0,26.67,42.41,3.0,3.0,10.0,15.9,4.0,4.0,13.33,21.21,1.0,1.0,3.33,5.3,7.0,7.0,23.33,37.11,2.0,2.0,6.67,10.6,6.0,6.0,20.0,31.81,1.0,1.0,3.33,5.3,0.0,0.0,0.0,0.0,6.0,6.0,20.0,31.81,2.0,2.0,6.67,10.6,63.33,23.33,40.0,106.03,12.0,12.0,40.0,6.79,6.79,0.59,0.62,0.33,0.6,0.8,0.11,1.2,0.3,0.8,0.47,3.33,0.0,0.2,6.67,0.91
3,21|29|13029,李愷諺/林書緯/杰倫,新北國王,2,40|113,謝亞軒/林任鴻,新北中信特攻,1,26,30.0,407.44,6.79,06:47,407.44,6.79,06:47,7.0,7.0,23.33,37.11,19.0,19.0,63.33,100.73,10.0,10.0,33.33,53.01,3.0,3.0,10.0,15.9,3.0,3.0,10.0,15.9,2.0,2.0,6.67,10.6,7.0,7.0,23.33,37.11,1.0,1.0,3.33,5.3,2.0,2.0,6.67,10.6,0.0,0.0,0.0,0.0,1.0,1.0,3.33,5.3,7.0,7.0,23.33,37.11,3.0,3.0,10.0,15.9,4.0,4.0,13.33,21.21,2.0,2.0,6.67,10.6,3.0,3.0,10.0,15.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.33,5.3,10.0,10.0,33.33,53.01,23.33,63.33,-40.0,106.03,-12.0,-12.0,-40.0,6.79,6.79,0.35,0.32,0.67,0.14,0.0,0.16,1.0,0.2,0.7,0.53,0.0,0.0,0.03,33.33,0.2
2,40|113,謝亞軒/林任鴻,新北中信特攻,3,21|32|13029,李愷諺/奧帝/杰倫,新北國王,1,15,18.0,234.44,3.91,03:54,234.44,3.91,03:54,14.0,14.0,77.78,128.99,4.0,4.0,22.22,36.85,7.0,7.0,38.89,64.49,4.0,4.0,22.22,36.85,5.0,5.0,27.78,46.07,2.0,2.0,11.11,18.43,2.0,2.0,11.11,18.43,2.0,2.0,11.11,18.43,8.0,8.0,44.44,73.71,6.0,6.0,33.33,55.28,2.0,2.0,11.11,18.43,2.0,2.0,11.11,18.43,1.0,1.0,5.56,9.21,3.0,3.0,16.67,27.64,0.0,0.0,0.0,0.0,5.0,5.0,27.78,46.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,22.22,36.85,2.0,2.0,11.11,18.43,77.78,22.22,55.56,110.56,10.0,10.0,55.56,3.91,3.91,0.71,0.67,0.4,1.0,0.75,0.0,1.25,0.4,0.67,0.5,0.0,0.0,0.22,11.11,1.14
3,21|32|13029,李愷諺/奧帝/杰倫,新北國王,2,40|113,謝亞軒/林任鴻,新北中信特攻,1,15,18.0,234.44,3.91,03:54,234.44,3.91,03:54,4.0,4.0,22.22,36.85,14.0,14.0,77.78,128.99,5.0,5.0,27.78,46.07,2.0,2.0,11.11,18.43,2.0,2.0,11.11,18.43,2.0,2.0,11.11,18.43,3.0,3.0,16.67,27.64,0.0,0.0,0.0,0.0,2.0,2.0,11.11,18.43,0.0,0.0,0.0,0.0,1.0,1.0,5.56,9.21,3.0,3.0,16.67,27.64,2.0,2.0,11.11,18.43,2.0,2.0,11.11,18.43,2.0,2.0,11.11,18.43,2.0,2.0,11.11,18.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.56,9.21,8.0,8.0,44.44,73.71,22.22,77.78,-55.56,110.56,-10.0,-10.0,-55.56,3.91,3.91,0.4,0.34,1.0,0.0,0.0,0.25,1.0,0.33,0.6,0.5,0.0,0.0,0.06,44.44,0.4
2,40|113,謝亞軒/林任鴻,新北中信特攻,3,24|29|32,蘇士軒/林書緯/奧帝,新北國王,1,10,12.0,165.15,2.75,02:45,165.15,2.75,02:45,10.0,10.0,83.33,130.79,4.0,4.0,33.33,52.32,4.0,4.0,33.33,52.32,2.0,2.0,16.67,26.16,2.0,2.0,16.67,26.16,0.0,0.0,0.0,0.0,2.0,2.0,16.67,26.16,2.0,2.0,16.67,26.16,8.0,8.0,66.67,104.63,6.0,6.0,50.0,78.47,2.0,2.0,16.67,26.16,1.0,1.0,8.33,13.08,0.0,0.0,0.0,0.0,2.0,2.0,16.67,26.16,0.0,0.0,0.0,0.0,4.0,4.0,33.33,52.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,25.0,39.24,2.0,2.0,16.67,26.16,83.33,33.33,50.0,104.63,6.0,6.0,50.0,2.75,2.75,0.75,0.66,0.0,1.0,0.75,0.0,2.0,0.5,1.0,0.6,0.0,0.0,0.25,16.67,2.0
3,24|29|32,蘇士軒/林書緯/奧帝,新北國王,2,40|113,謝亞軒/林任鴻,新北中信特攻,1,10,12.0,165.15,2.75,02:45,165.15,2.75,02:45,4.0,4.0,33.33,52.32,10.0,10.0,83.33,130.79,3.0,3.0,25.0,39.24,2.0,2.0,16.67,26.16,2.0,2.0,16.67,26.16,2.0,2.0,16.67,26.16,1.0,1.0,8.33,13.08,0.0,0.0,0.0,0.0,2.0,2.0,16.67,26.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,16.67,26.16,2.0,2.0,16.67,26.16,1.0,1.0,8.33,13.08,1.0,1.0,8.33,13.08,2.0,2.0,16.67,26.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.33,13.08,8.0,8.0,66.67,104.63,33.33,83.33,-50.0,104.63,-6.0,-6.0,-50.0,2.75,2.75,0.67,0.52,1.0,0.0,0.0,0.2,1.0,0.0,0.5,0.4,0.0,0.0,0.08,66.67,0.67
2,40|113,謝亞軒/林任鴻,新北中信特攻,3,24|29|13029,蘇士軒/林書緯/杰倫,新北國王,1,20,23.0,331.08,5.52,05:31,331.08,5.52,05:31,13.0,13.0,56.52,84.81,8.0,8.0,34.78,52.19,8.0,8.0,34.78,52.19,3.0,3.0,13.04,19.57,2.0,2.0,8.7,13.05,0.0,0.0,0.0,0.0,6.0,6.0,26.09,39.14,3.0,3.0,13.04,19.57,8.0,8.0,34.78,52.19,6.0,6.0,26.09,39.14,3.0,3.0,13.04,19.57,3.0,3.0,13.04,19.57,0.0,0.0,0.0,0.0,6.0,6.0,26.09,39.14,1.0,1.0,4.35,6.52,5.0,5.0,21.74,32.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,17.39,26.1,4.0,4.0,17.39,26.1,56.52,34.78,21.74,100.04,5.0,5.0,21.74,5.52,5.52,0.56,0.56,0.0,0.5,0.75,0.08,1.67,0.33,1.0,0.5,0.0,0.0,0.17,17.39,1.0
3,24|29|13029,蘇士軒/林書緯/杰倫,新北國王,2,40|113,謝亞軒/林任鴻,新北中信特攻,1,20,23.0,331.08,5.52,05:31,331.08,5.52,05:31,8.0,8.0,34.78,52.19,13.0,13.0,56.52,84.81,8.0,8.0,34.78,52.19,3.0,3.0,13.04,19.57,3.0,3.0,13.04,19.57,3.0,3.0,13.04,19.57,5.0,5.0,21.74,32.62,0.0,0.0,0.0,0.0,4.0,4.0,17.39,26.1,2.0,2.0,8.7,13.05,0.0,0.0,0.0,0.0,6.0,6.0,26.09,39.14,3.0,3.0,13.04,19.57,3.0,3.0,13.04,19.57,1.0,1.0,4.35,6.52,3.0,3.0,13.04,19.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.35,6.52,8.0,8.0,34.78,52.19,34.78,56.52,-21.74,100.04,-5.0,-5.0,-21.74,5.52,5.52,0.38,0.41,1.0,0.0,0.5,0.09,1.0,0.0,0.67,0.5,0.0,0.0,0.04,34.78,0.5
2,40|113,謝亞軒/林任鴻,新北中信特攻,3,24|32|13029,蘇士軒/奧帝/杰倫,新北國王,1,10,12.0,186.13,3.1,03:06,186.13,3.1,03:06,10.0,10.0,83.33,116.05,4.0,4.0,33.33,46.42,5.0,5.0,41.67,58.02,3.0,3.0,25.0,34.81,3.0,3.0,25.0,34.81,1.0,1.0,8.33,11.6,2.0,2.0,16.67,23.21,2.0,2.0,16.67,23.21,8.0,8.0,66.67,92.84,6.0,6.0,50.0,69.63,2.0,2.0,16.67,23.21,1.0,1.0,8.33,11.6,0.0,0.0,0.0,0.0,2.0,2.0,16.67,23.21,0.0,0.0,0.0,0.0,4.0,4.0,33.33,46.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,25.0,34.81,2.0,2.0,16.67,23.21,83.33,33.33,50.0,92.84,6.0,6.0,50.0,3.1,3.1,0.8,0.59,0.33,1.0,0.75,0.0,1.33,0.5,1.0,0.6,0.0,0.0,0.25,16.67,1.6
3,24|32|13029,蘇士軒/奧帝/杰倫,新北國王,2,40|113,謝亞軒/林任鴻,新北中信特攻,1,10,12.0,186.13,3.1,03:06,186.13,3.1,03:06,4.0,4.0,33.33,46.42,10.0,10.0,83.33,116.05,3.0,3.0,25.0,34.81,2.0,2.0,16.67,23.21,2.0,2.0,16.67,23.21,2.0,2.0,16.67,23.21,1.0,1.0,8.33,11.6,0.0,0.0,0.0,0.0,2.0,2.0,16.67,23.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,16.67,23.21,2.0,2.0,16.67,23.21,1.0,1.0,8.33,11.6,1.0,1.0,8.33,11.6,2.0,2.0,16.67,23.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,16.67,23.21,8.0,8.0,66.67,92.84,33.33,83.33,-50.0,92.84,-6.0,-6.0,-50.0,3.1,3.1,0.67,0.52,1.0,0.0,0.0,0.2,1.0,0.0,0.5,0.4,0.0,0.0,0.17,66.67,0.67
2,40|113,謝亞軒/林任鴻,新北中信特攻,3,29|32|13029,林書緯/奧帝/杰倫,新北國王,1,17,20.0,290.44,4.84,04:50,290.44,4.84,04:50,16.0,16.0,80.0,118.99,4.0,4.0,20.0,29.75,8.0,8.0,40.0,59.5,5.0,5.0,25.0,37.18,6.0,6.0,30.0,44.62,3.0,3.0,15.0,22.31,2.0,2.0,10.0,14.87,2.0,2.0,10.0,14.87,8.0,8.0,40.0,59.5,6.0,6.0,30.0,44.62,2.0,2.0,10.0,14.87,2.0,2.0,10.0,14.87,1.0,1.0,5.0,7.44,4.0,4.0,20.0,29.75,0.0,0.0,0.0,0.0,6.0,6.0,30.0,44.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,25.0,37.18,2.0,2.0,10.0,14.87,80.0,20.0,60.0,99.16,12.0,12.0,60.0,4.84,4.84,0.75,0.69,0.5,1.0,0.75,0.0,1.2,0.33,0.67,0.44,0.0,0.0,0.25,10.0,1.0
3,29|32|13029,林書緯/奧帝/杰倫,新北國王,2,40|113,謝亞軒/林任鴻,新北中信特攻,1,17,20.0,290.44,4.84,04:50,290.44,4.84,04:50,4.0,4.0,20.0,29.75,16.0,16.0,80.0,118.99,7.0,7.0,35.0,52.06,3.0,3.0,15.0,22.31,3.0,3.0,15.0,22.31,3.0,3.0,15.0,22.31,4.0,4.0,20.0,29.75,0.0,0.0,0.0,0.0,2.0,2.0,10.0,14.87,0.0,0.0,0.0,0.0,1.0,1.0,5.0,7.44,4.0,4.0,20.0,29.75,2.0,2.0,10.0,14.87,2.0,2.0,10.0,14.87,2.0,2.0,10.0,14.87,3.0,3.0,15.0,22.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,7.44,8.0,8.0,40.0,59.5,20.0,80.0,-60.0,99.16,-12.0,-12.0,-60.0,4.84,4.84,0.43,0.25,1.0,0.0,0.0,0.2,1.0,0.33,0.67,0.56,0.0,0.0,0.05,40.0,0.29
2,40|113,謝亞軒/林任鴻,新北中信特攻,4,21|24|29|32,李愷諺/蘇士軒/林書緯/奧帝,新北國王,1,10,12.0,165.15,2.75,02:45,165.15,2.75,02:45,10.0,10.0,83.33,130.79,4.0,4.0,33.33,52.32,4.0,4.0,33.33,52.32,2.0,2.0,16.67,26.16,2.0,2.0,16.67,26.16,0.0,0.0,0.0,0.0,2.0,2.0,16.67,26.16,2.0,2.0,16.67,26.16,8.0,8.0,66.67,104.63,6.0,6.0,50.0,78.47,2.0,2.0,16.67,26.16,1.0,1.0,8.33,13.08,0.0,0.0,0.0,0.0,2.0,2.0,16.67,26.16,0.0,0.0,0.0,0.0,4.0,4.0,33.33,52.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,25.0,39.24,2.0,2.0,16.67,26.16,83.33,33.33,50.0,104.63,6.0,6.0,50.0,2.75,2.75,0.75,0.66,0.0,1.0,0.75,0.0,2.0,0.5,1.0,0.6,0.0,0.0,0.25,16.67,2.0
4,21|24|29|32,李愷諺/蘇士軒/林書緯/奧帝,新北國王,2,40|113,謝亞軒/林任鴻,新北中信特攻,1,10,12.0,165.15,2.75,02:45,165.15,2.75,02:45,4.0,4.0,33.33,52.32,10.0,10.0,83.33,130.79,3.0,3.0,25.0,39.24,2.0,2.0,16.67,26.16,2.0,2.0,16.67,26.16,2.0,2.0,16.67,26.16,1.0,1.0,8.33,13.08,0.0,0.0,0.0,0.0,2.0,2.0,16.67,26.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,16.67,26.16,2.0,2.0,16.67,26.16,1.0,1.0,8.33,13.08,1.0,1.0,8.33,13.08,2.0,2.0,16.67,26.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.33,13.08,8.0,8.0,66.67,104.63,33.33,83.33,-50.0,104.63,-6.0,-6.0,-50.0,2.75,2.75,0.67,0.52,1.0,0.0,0.0,0.2,1.0,0.0,0.5,0.4,0.0,0.0,0.08,66.67,0.67
2,40|113,謝亞軒/林任鴻,新北中信特攻,4,21|24|29|13029,李愷諺/蘇士軒/林書緯/杰倫,新北國王,1,15,18.0,257.37,4.29,04:17,257.37,4.29,04:17,13.0,13.0,72.22,109.1,4.0,4.0,22.22,33.57,6.0,6.0,33.33,50.35,3.0,3.0,16.67,25.18,2.0,2.0,11.11,16.78,0.0,0.0,0.0,0.0,4.0,4.0,22.22,33.57,3.0,3.0,16.67,25.18,8.0,8.0,44.44,67.14,6.0,6.0,33.33,50.35,3.0,3.0,16.67,25.18,1.0,1.0,5.56,8.39,0.0,0.0,0.0,0.0,5.0,5.0,27.78,41.96,1.0,1.0,5.56,8.39,5.0,5.0,27.78,41.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,22.22,33.57,2.0,2.0,11.11,16.78,72.22,22.22,50.0,100.71,9.0,9.0,50.0,4.29,4.29,0.75,0.68,0.0,0.75,0.75,0.1,1.67,0.38,1.0,0.44,0.0,0.0,0.22,11.11,1.33
4,21|24|29|13029,李愷諺/蘇士軒/林書緯/杰倫,新北國王,2,40|113,謝亞軒/林任鴻,新北中信特攻,1,15,18.0,257.37,4.29,04:17,257.37,4.29,04:17,4.0,4.0,22.22,33.57,13.0,13.0,72.22,109.1,6.0,6.0,33.33,50.35,2.0,2.0,11.11,16.78,2.0,2.0,11.11,16.78,2.0,2.0,11.11,16.78,4.0,4.0,22.22,33.57,0.0,0.0,0.0,0.0,2.0,2.0,11.11,16.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,27.78,41.96,3.0,3.0,16.67,25.18,1.0,1.0,5.56,8.39,1.0,1.0,5.56,8.39,2.0,2.0,11.11,16.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.56,8.39,8.0,8.0,44.44,67.14,22.22,72.22,-50.0,100.71,-9.0,-9.0,-50.0,4.29,4.29,0.33,0.29,1.0,0.0,0.0,0.13,1.0,0.0,0.62,0.56,0.0,0.0,0.06,44.44,0.33
2,40|113,謝亞軒/林任鴻,新北中信特攻,4,21|24|32|13029,李愷諺/蘇士軒/奧帝/杰倫,新北國王,1,10,12.0,165.15,2.75,02:45,165.15,2.75,02:45,10.0,10.0,83.33,130.79,4.0,4.0,33.33,52.32,4.0,4.0,33.33,52.32,2.0,2.0,16.67,26.16,2.0,2.0,16.67,26.16,0.0,0.0,0.0,0.0,2.0,2.0,16.67,26.16,2.0,2.0,16.67,26.16,8.0,8.0,66.67,104.63,6.0,6.0,50.0,78.47,2.0,2.0,16.67,26.16,1.0,1.0,8.33,13.08,0.0,0.0,0.0,0.0,2.0,2.0,16.67,26.16,0.0,0.0,0.0,0.0,4.0,4.0,33.33,52.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,25.0,39.24,2.0,2.0,16.67,26.16,83.33,33.33,50.0,104.63,6.0,6.0,50.0,2.75,2.75,0.75,0.66,0.0,1.0,0.75,0.0,2.0,0.5,1.0,0.6,0.0,0.0,0.25,16.67,2.0
4,21|24|32|13029,李愷諺/蘇士軒/奧帝/杰倫,新北國王,2,40|113,謝亞軒/林任鴻,新北中信特攻,1,10,12.0,165.15,2.75,02:45,165.15,2.75,02:45,4.0,4.0,33.33,52.32,10.0,10.0,83.33,130.79,3.0,3.0,25.0,39.24,2.0,2.0,16.67,26.16,2.0,2.0,16.67,26.16,2.0,2.0,16.67,26.16,1.0,1.0,8.33,13.08,0.0,0.0,0.0,0.0,2.0,2.0,16.67,26.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,16.67,26.16,2.0,2.0,16.67,26.16,1.0,1.0,8.33,13.08,1.0,1.0,8.33,13.08,2.0,2.0,16.67,26.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.33,13.08,8.0,8.0,66.67,104.63,33.33,83.33,-50.0,104.63,-6.0,-6.0,-50.0,2.75,2.75,0.67,0.52,1.0,0.0,0.0,0.2,1.0,0.0,0.5,0.4,0.0,0.0,0.08,66.67,0.67
2,40|113,謝亞軒/林任鴻,新北中信特攻,4,21|29|32|13029,李愷諺/林書緯/奧帝/杰倫,新北國王,1,15,18.0,234.44,3.91,03:54,234.44,3.91,03:54,14.0,14.0,77.78,128.99,4.0,4.0,22.22,36.85,7.0,7.0,38.89,64.49,4.0,4.0,22.22,36.85,5.0,5.0,27.78,46.07,2.0,2.0,11.11,18.43,2.0,2.0,11.11,18.43,2.0,2.0,11.11,18.43,8.0,8.0,44.44,73.71,6.0,6.0,33.33,55.28,2.0,2.0,11.11,18.43,2.0,2.0,11.11,18.43,1.0,1.0,5.56,9.21,3.0,3.0,16.67,27.64,0.0,0.0,0.0,0.0,5.0,5.0,27.78,46.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,22.22,36.85,2.0,2.0,11.11,18.43,77.78,22.22,55.56,110.56,10.0,10.0,55.56,3.91,3.91,0.71,0.67,0.4,1.0,0.75,0.0,1.25,0.4,0.67,0.5,0.0,0.0,0.22,11.11,1.14
4,21|29|32|13029,李愷諺/林書緯/奧帝/杰倫,新北國王,2,40|113,謝亞軒/林任鴻,新北中信特攻,1,15,18.0,234.44,3.91,03:54,234.44,3.91,03:54,4.0,4.0,22.22,36.85,14.0,14.0,77.78,128.99,5.0,5.0,27.78,46.07,2.0,2.0,11.11,18.43,2.0,2.0,11.11,18.43,2.0,2.0,11.11,18.43,3.0,3.0,16.67,27.64,0.0,0.0,0.0,0.0,2.0,2.0,11.11,18.43,0.0,0.0,0.0,0.0,1.0,1.0,5.56,9.21,3.0,3.0,16.67,27.64,2.0,2.0,11.11,18.43,2.0,2.0,11.11,18.43,2.0,2.0,11.11,18.43,2.0,2.0,11.11,18.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.56,9.21,8.0,8.0,44.44,73.71,22.22,77.78,-55.56,110.56,-10.0,-10.0,-55.56,3.91,3.91,0.4,0.34,1.0,0.0,0.0,0.25,1.0,0.33,0.6,0.5,0.0,0.0,0.06,44.44,0.4
2,40|113,謝亞軒/林任鴻,新北中信特攻,4,24|29|32|13029,蘇士軒/林書緯/奧帝/杰倫,新北國王,1,10,12.0,165.15,2.75,02:45,165.15,2.75,02:45,10.0,10.0,83.33,130.79,4.0,4.0,33.33,52.32,4.0,4.0,33.33,52.32,2.0,2.0,16.67,26.16,2.0,2.0,16.67,26.16,0.0,0.0,0.0,0.0,2.0,2.0,16.67,26.16,2.0,2.0,16.67,26.16,8.0,8.0,66.67,104.63,6.0,6.0,50.0,78.47,2.0,2.0,16.67,26.16,1.0,1.0,8.33,13.08,0.0,0.0,0.0,0.0,2.0,2.0,16.67,26.16,0.0,0.0,0.0,0.0,4.0,4.0,33.33,52.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,25.0,39.24,2.0,2.0,16.67,26.16,83.33,33.33,50.0,104.63,6.0,6.0,50.0,2.75,2.75,0.75,0.66,0.0,1.0,0.75,0.0,2.0,0.5,1.0,0.6,0.0,0.0,0.25,16.67,2.0
4,24|29|32|13029,蘇士軒/林書緯/奧帝/杰倫,新北國王,2,40|113,謝亞軒/林任鴻,新北中信特攻,1,10,12.0,165.15,2.75,02:45,165.15,2.75,02:45,4.0,4.0,33.33,52.32,10.0,10.0,83.33,130.79,3.0,3.0,25.0,39.24,2.0,2.0,16.67,26.16,2.0,2.0,16.67,26.16,2.0,2.0,16.67,26.16,1.0,1.0,8.33,13.08,0.0,0.0,0.0,0.0,2.0,2.0,16.67,26.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,16.67,26.16,2.0,2.0,16.67,26.16,1.0,1.0,8.33,13.08,1.0,1.0,8.33,13.08,2.0,2.0,16.67,26.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.33,13.08,8.0,8.0,66.67,104.63,33.33,83.33,-50.0,104.63,-6.0,-6.0,-50.0,2.75,2.75,0.67,0.52,1.0,0.0,0.0,0.2,1.0,0.0,0.5,0.4,0.0,0.0,0.08,66.67,0.67
2,40|113,謝亞軒/林任鴻,新北中信特攻,5,21|24|29|32|13029,李愷諺/蘇士軒/林書緯/奧帝/杰倫,新北國王,1,10,12.0,165.15,2.75,02:45,165.15,2.75,02:45,10.0,10.0,83.33,130.79,4.0,4.0,33.33,52.32,4.0,4.0,33.33,52.32,2.0,2.0,16.67,26.16,2.0,2.0,16.67,26.16,0.0,0.0,0.0,0.0,2.0,2.0,16.67,26.16,2.0,2.0,16.67,26.16,8.0,8.0,66.67,104.63,6.0,6.0,50.0,78.47,2.0,2.0,16.67,26.16,1.0,1.0,8.33,13.08,0.0,0.0,0.0,0.0,2.0,2.0,16.67,26.16,0.0,0.0,0.0,0.0,4.0,4.0,33.33,52.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,25.0,39.24,2.0,2.0,16.67,26.16,83.33,33.33,50.0,104.63,6.0,6.0,50.0,2.75,2.75,0.75,0.66,0.0,1.0,0.75,0.0,2.0,0.5,1.0,0.6,0.0,0.0,0.25,16.67,2.0
